INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Git version 2.22.0.windows.1', 'version': '2.22.0.windows.1', 'vendor': 'The Git Development Community'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Git version 2.22.0.windows.1 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'GnuWin32: Wget-1.11.4-1', 'version': '1.11.4-1', 'vendor': 'GnuWin32'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - GnuWin32: Wget-1.11.4-1 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Google Chrome', 'version': '80.0.3987.87', 'vendor': 'Google LLC'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Google Chrome has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Google Chrome', 'version': '85.0.4183.102', 'vendor': 'Google LLC'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Google Chrome has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Google Chrome', 'version': '85.0.4183.121', 'vendor': 'Google LLC'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Google Chrome has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Google Chrome', 'version': '86.0.4240.111', 'vendor': 'Google LLC'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Google Chrome has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Google Chrome', 'version': '86.0.4240.183', 'vendor': 'Google LLC'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Google Chrome has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Google Chrome', 'version': '86.0.4240.193', 'vendor': 'Google LLC'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:179 - =================================================================================>Running in spider
INFO | 2020-11-14 11:05:03 | nvd_spider.py:163 - after handle app info: {'product': 'chrome', 'version': '86.0.4240.193', 'vendor': None}
INFO | 2020-11-14 11:05:05 | nvd_spider.py:183 - NVD matching records: 0
INFO | 2020-11-14 11:05:05 | nvd_spider.py:199 - ****************************************
INFO | 2020-11-14 11:05:05 | nvd_spider.py:200 - Get one product res len: 0
INFO | 2020-11-14 11:05:05 | nvd_spider.py:201 - ****************************************
INFO | 2020-11-14 11:05:05 | nvd_spider.py:210 - ======================================================================================>Running over
